ID,Conteudo_Original,Fonte_Documento,Dado_Sensivel,Apenas_Para_Si,Areas_Liberadas,Nivel_Hierarquico_Minimo,Geografias_Liberadas,Projetos_Liberados,Idioma,Data_Validade, Submiter, Aprover
RH001,"A política de férias da empresa concede 30 dias corridos de descanso remunerado após cada período de 12 meses de trabalho. A solicitação deve ser feita com 30 dias de antecedência.","Politica_Ferias_Geral_v2.pdf",False,False,"['ALL']",1,"['ALL']","['ALL']",pt-br,
RH002,"O saldo de férias de cada colaborador pode ser consultado no Portal do Funcionário, na seção 'Meu RH'. As informações são pessoais e intransferíveis.","Portal_RH_FAQ.html",True,True,"['ALL']",1,"['ALL']","['ALL']",pt-br,
RH003,"A política de home office permite até 2 dias de trabalho remoto por semana para cargos administrativos, mediante aprovação do gestor direto.","Politica_Home_Office_2024.pdf",False,False,"['ALL']",1,"['BR']","['ALL']",pt-br,
RH004,"Para a equipe de TI nos EUA, a política de home office é flexível, permitindo trabalho 100% remoto para os níveis Sênior e acima (Nível 4+).","TI_EUA_Remote_Policy.pdf",False,False,"['TI']",4,"['USA']","['ALL']",en-us,
RH005,"A tabela salarial para o cargo de Analista de Vendas no Brasil varia de R$ 4.000 a R$ 6.500, dependendo da senioridade.","Tabela_Salarial_Vendas_BR_2025.xlsx",True,False,"['RH', 'Vendas']",4,"['BR']","['ALL']",pt-br,
RH006,"O plano de saúde para diretores (Nível 5) inclui cobertura internacional e check-up executivo anual. Os detalhes estão no guia de benefícios.","Guia_Beneficios_Diretoria.pdf",True,False,"['RH']",5,"['ALL']","['ALL']",pt-br,
RH007,"O bônus anual é calculado com base nos resultados da empresa e na avaliação de desempenho individual. As metas são confidenciais.","Regras_Bonus_Anual.docx",True,False,"['RH', 'Financeiro']",4,"['ALL']","['ALL']",pt-br,
RH008,"A avaliação de desempenho para membros do 'Projeto Apollo' seguirá um modelo de feedback 360º. O acesso aos resultados é restrito ao próprio avaliado e seu gestor.","Avaliacao_Projeto_Apollo.pdf",True,True,"['ALL']",1,"['ALL']","['Apollo']",en-us,
RH009,"A antiga política de reembolso de viagens foi descontinuada em 2023. Consulte a nova política na intranet.","Politica_Reembolso_v1_OBSOLETA.pdf",False,False,"['ALL']",1,"['ALL']","['ALL']",pt-br,2023-12-31
RH010,"Todos os salários da empresa são processados no dia 30 de cada mês. Apenas o RH tem acesso aos valores consolidados de folha de pagamento.","Processo_Folha_Pagamento.pdf",True,False,"['RH']",1,"['ALL']","['ALL']",pt-br,
